Notes,Compound Notebook Name,Date Copied to Master Database,Data Recorded By,Seshadri Group,Oyaizu Group,DOI,Solvent 1 (S1),S1 SMILES,S1 SMILES 1,S1 SMILES 2,S1 SMILES 3,S1 Big SMILES,S1 End Group 1,S1 End Group 2,S1 Mol %,S1 Weight %,S1 SMILES 1 Mol %,S1 SMILES 2 Mol %,S1 SMILES 3 Mol %,S1 Molar Ratio,S1 Weight Ratio,S1 Mw,S1 Mn,S1 Mn or Mw,S1 Mw/Mn,S1 DOP,S1 Molar Mass (g/mol),S1 Type,S1 Block Mol Weight,Solvent 2 (S2),S2 SMILES,S2 SMILES 1,S2 SMILES 2,S2 Mol %,S2 Weight %,S2 SMILES 1 Mol %,S2 SMILES 2 Mol %,S2 Molar Ratio,S2 Weight Ratio,S2 Mw,S2 Mn,S2 Mn or Mw,S2 Mw/Mn,S2 DOP,S2 Molar Mass (g/mol),S2 Type,Solvent 3 (S3),S3 SMILES,S3 SMILES 1,S3 Mol %,S3 Weight %,S3 Molar Ratio,S3 Weight Ratio,S3 Mw,S3 Mn,S3 Mn or Mw,S3 Mw/Mn,S3 DOP,S3 Molar Mass (g/mol),S3 Type,Solvent 4 (S4),S4 SMILES,S4 Mol %,S4 Weight %,S4 Molar Ratio,S4 Weight Ratio,S4 Mw,S4 Mn,S4 Mn or Mw,S4 Mw/Mn,S4 DOP,S4 Molar Mass (g/mol),S4 Type,Salt 1,Salt1 SMILES,Salt1 Mol %,Salt1 Weight %,Salt1 Molality (mol salt/kg polymer),Salt1 Molar Mass (g/mol),Salt 2,Salt2 SMILES,Salt2 Mol %,Salt2 Weight %,Salt2 Molality (mol salt/kg polymer),Salt2 Molar Mass (g/mol),Inorganic Material 1 (IM1),IM1 Weight %,IM1 Particle Size (nm),Tg (oC),Heating Rate (K/min),Temperature (oC),Conductivity (S/cm),log Conductivity (S/cm)
,,,,,1.0,doi.org/10.1016/j.elecom.2012.05.022,lithiumÃƒÂ£Ã¢â€šÂ¬Ã¢â€šÂ¬oxalate polyacrylic acid borate,[Cu]CC1C(=O)O[B-](OC2(=O))(OC2(=O))OC(=O)C(C1)[Au],[Cu]CC1C(=O)O[B-](OC2(=O))(OC2(=O))OC(=O)C(C1)[Au],,,,,,0.931918146,0.97,,,,,,,,1505121.734,,6245.0,241.0122873,,,Propylene Carbonate,CC1COC(=O)O1,CC1COC(=O)O1,,0.068081854,0.03,,,,,,,102.0316941,,,102.0316941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.95782985,1.83e-06,-5.737931
,,,,,1.0,doi.org/10.1016/j.elecom.2012.05.022,lithiumÃƒÂ£Ã¢â€šÂ¬Ã¢â€šÂ¬oxalate polyacrylic acid borate,[Cu]CC1C(=O)O[B-](OC2(=O))(OC2(=O))OC(=O)C(C1)[Au],[Cu]CC1C(=O)O[B-](OC2(=O))(OC2(=O))OC(=O)C(C1)[Au],,,,,,0.931918146,0.97,,,,,,,,1505121.734,,6245.0,241.0122873,,,Propylene Carbonate,CC1COC(=O)O1,CC1COC(=O)O1,,0.068081854,0.03,,,,,,,102.0316941,,,102.0316941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.27659261,1.43e-06,-5.844828
,,,,,1.0,doi.org/10.1016/j.elecom.2012.05.022,lithiumÃƒÂ£Ã¢â€šÂ¬Ã¢â€šÂ¬oxalate polyacrylic acid borate,[Cu]CC1C(=O)O[B-](OC2(=O))(OC2(=O))OC(=O)C(C1)[Au],[Cu]CC1C(=O)O[B-](OC2(=O))(OC2(=O))OC(=O)C(C1)[Au],,,,,,0.931918146,0.97,,,,,,,,1505121.734,,6245.0,241.0122873,,,Propylene Carbonate,CC1COC(=O)O1,CC1COC(=O)O1,,0.068081854,0.03,,,,,,,102.0316941,,,102.0316941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0970482,1.09e-06,-5.962069
,,,,,1.0,doi.org/10.1016/j.elecom.2012.05.022,lithiumÃƒÂ£Ã¢â€šÂ¬Ã¢â€šÂ¬oxalate polyacrylic acid borate,[Cu]CC1C(=O)O[B-](OC2(=O))(OC2(=O))OC(=O)C(C1)[Au],[Cu]CC1C(=O)O[B-](OC2(=O))(OC2(=O))OC(=O)C(C1)[Au],,,,,,0.931918146,0.97,,,,,,,,1505121.734,,6245.0,241.0122873,,,Propylene Carbonate,CC1COC(=O)O1,CC1COC(=O)O1,,0.068081854,0.03,,,,,,,102.0316941,,,102.0316941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.02173883,8.2e-07,-6.086207
,,,,,1.0,doi.org/10.1016/j.elecom.2012.05.022,lithiumÃƒÂ£Ã¢â€šÂ¬Ã¢â€šÂ¬oxalate polyacrylic acid borate,[Cu]CC1C(=O)O[B-](OC2(=O))(OC2(=O))OC(=O)C(C1)[Au],[Cu]CC1C(=O)O[B-](OC2(=O))(OC2(=O))OC(=O)C(C1)[Au],,,,,,0.931918146,0.97,,,,,,,,1505121.734,,6245.0,241.0122873,,,Propylene Carbonate,CC1COC(=O)O1,CC1COC(=O)O1,,0.068081854,0.03,,,,,,,102.0316941,,,102.0316941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.93578519,5.87e-07,-6.231034
,,,,,1.0,doi.org/10.1016/j.elecom.2012.05.022,lithiumÃƒÂ£Ã¢â€šÂ¬Ã¢â€šÂ¬oxalate polyacrylic acid borate,[Cu]CC1C(=O)O[B-](OC2(=O))(OC2(=O))OC(=O)C(C1)[Au],[Cu]CC1C(=O)O[B-](OC2(=O))(OC2(=O))OC(=O)C(C1)[Au],,,,,,0.931918146,0.97,,,,,,,,1505121.734,,6245.0,241.0122873,,,Propylene Carbonate,CC1COC(=O)O1,CC1COC(=O)O1,,0.068081854,0.03,,,,,,,102.0316941,,,102.0316941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.96399725,4.14e-07,-6.382759
,,,,,1.0,doi.org/10.1016/j.elecom.2012.05.022,lithiumÃƒÂ£Ã¢â€šÂ¬Ã¢â€šÂ¬oxalate polyacrylic acid borate,[Cu]CC1C(=O)O[B-](OC2(=O))(OC2(=O))OC(=O)C(C1)[Au],[Cu]CC1C(=O)O[B-](OC2(=O))(OC2(=O))OC(=O)C(C1)[Au],,,,,,0.931918146,0.97,,,,,,,,1505121.734,,6245.0,241.0122873,,,Propylene Carbonate,CC1COC(=O)O1,CC1COC(=O)O1,,0.068081854,0.03,,,,,,,102.0316941,,,102.0316941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.07677343,3.16e-07,-6.5
,,,,,1.0,doi.org/10.1149/1.2116687,PEGDME,[Cu]OCC[Au],[Cu]OCC[Au],,,,,,0.948686125,0.5,,,,,,,1000.0,1000.0,,,44.02238095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TPSB-,Fc1c(F)c(F)c(S[B-](Sc2c(F)c(F)c(F)c(F)c2F)(Sc2c(F)c(F)c(F)c(F)c2F)Sc2c(F)c(F)c(F)c(F)c2F)c(F)c1F.[Li+],0.051313875,0.5,1.228679857,813.8816584,,,,,,,,,,,,190.0,1.96e-05,-4.708333
,,,,,1.0,doi.org/10.1149/1.2116687,PEGDME,[Cu]OCC[Au],[Cu]OCC[Au],,,,,,0.948686125,0.5,,,,,,,1000.0,1000.0,,,44.02238095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TPSB-,Fc1c(F)c(F)c(S[B-](Sc2c(F)c(F)c(F)c(F)c2F)(Sc2c(F)c(F)c(F)c(F)c2F)Sc2c(F)c(F)c(F)c(F)c2F)c(F)c1F.[Li+],0.051313875,0.5,1.228679857,813.8816584,,,,,,,,,,,,170.0,1.96e-05,-4.708333
,,,,,1.0,doi.org/10.1149/1.2116687,PEGDME,[Cu]OCC[Au],[Cu]OCC[Au],,,,,,0.948686125,0.5,,,,,,,1000.0,1000.0,,,44.02238095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TPSB-,Fc1c(F)c(F)c(S[B-](Sc2c(F)c(F)c(F)c(F)c2F)(Sc2c(F)c(F)c(F)c(F)c2F)Sc2c(F)c(F)c(F)c(F)c2F)c(F)c1F.[Li+],0.051313875,0.5,1.228679857,813.8816584,,,,,,,,,,,,150.0,1.87e-05,-4.727273
